core_type,tier,bo_iteration,pe_type,array_rows,array_cols,pe_count,fu_alu,fu_mul,fu_fp,fu_mem,spm_kb,area_um2,all_kernels_mapped,avg_ii,assigned_kernels,git_hash,timestamp
dsp,tier2,27,spatial_pe,6,6,36,2,0,0,1,4,477548.0,0,inf,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,28,spatial_pe,6,6,36,3,0,0,1,8,481596.0,0,inf,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,29,spatial_pe,7,6,42,2,1,0,1,8,559096.0,1,14.0,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,30,spatial_pe,7,6,42,2,2,0,1,12,565644.0,1,7.4,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,31,spatial_pe,6,6,36,4,0,0,1,12,485644.0,0,inf,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,32,spatial_pe,6,6,36,2,2,1,2,8,500096.0,1,7.4,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,33,spatial_pe,6,6,36,4,1,0,1,12,490144.0,1,14.0,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,34,spatial_pe,7,6,42,4,2,1,2,12,581144.0,1,7.0,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,35,spatial_pe,6,7,42,4,0,0,1,12,560644.0,0,inf,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,36,spatial_pe,6,7,42,4,0,1,1,4,564548.0,0,inf,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,37,spatial_pe,6,6,36,2,2,0,1,4,486548.0,1,7.4,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,38,spatial_pe,6,6,36,2,0,0,2,8,483096.0,0,inf,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,39,spatial_pe,7,6,42,4,2,0,1,12,569644.0,1,7.4,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,40,spatial_pe,6,6,36,3,0,0,1,12,483644.0,0,inf,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,41,spatial_pe,6,6,36,4,0,0,1,4,481548.0,0,inf,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,42,spatial_pe,7,6,42,3,0,0,1,12,558644.0,0,inf,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,43,spatial_pe,7,6,42,3,1,0,2,12,566644.0,1,14.0,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,44,spatial_pe,7,6,42,4,2,1,1,8,575596.0,1,7.4,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,45,spatial_pe,6,6,36,4,2,0,1,8,492596.0,1,7.4,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,46,spatial_pe,7,7,49,4,1,0,1,8,650096.0,1,14.0,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,47,spatial_pe,6,6,36,4,0,0,1,12,485644.0,0,inf,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,48,spatial_pe,6,6,36,2,0,1,1,8,487596.0,0,inf,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,49,spatial_pe,6,7,42,2,1,1,2,12,572644.0,1,14.0,5,4d4c308,2026-03-24T07:06:15Z
dsp,tier2,50,spatial_pe,6,7,42,2,1,0,1,8,559096.0,1,14.0,5,4d4c308,2026-03-24T07:06:15Z
ai,tier1,0,spatial_pe,8,8,64,2,2,4,2,32,884384.0,1,7.39,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,1,spatial_pe,9,8,72,2,1,4,1,28,973336.0,1,14.72,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,2,spatial_pe,8,9,72,1,1,5,3,36,990432.0,1,14.72,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,3,spatial_pe,8,8,64,2,3,3,1,32,877384.0,1,7.83,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,4,spatial_pe,9,9,81,1,4,2,1,28,1079836.0,1,7.83,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,5,spatial_pe,8,8,64,2,2,4,1,32,880884.0,1,7.89,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,6,spatial_pe,9,9,81,3,2,2,1,32,1076884.0,1,7.89,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,7,spatial_pe,8,8,64,2,3,2,1,32,869384.0,1,7.83,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,8,spatial_pe,8,8,64,3,3,3,1,36,881432.0,1,7.83,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,9,spatial_pe,8,8,64,3,4,1,1,36,869932.0,1,14.28,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,10,spatial_pe,9,9,81,3,3,2,1,36,1083432.0,1,7.83,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,11,spatial_pe,9,8,72,2,3,3,2,36,981932.0,1,5.39,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,12,spatial_pe,9,9,81,3,2,1,1,28,1066836.0,1,14.28,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,13,spatial_pe,8,9,72,2,2,1,1,36,957932.0,1,14.28,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,14,spatial_pe,8,8,64,1,3,2,1,36,869432.0,1,7.83,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,15,spatial_pe,8,9,72,2,2,2,1,36,965932.0,1,7.89,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,16,spatial_pe,8,9,72,1,4,1,1,28,960836.0,1,14.28,18,4d4c308,2026-03-24T07:06:15Z
ai,tier2,17,spatial_pe,9,8,72,2,4,3,2,36,986432.0,1,5.06,18,4d4c308,2026-03-24T07:06:15Z
